KIND OF MEDICINE,Item Name,MRP,Landing Cost,Batch No,Expiry Date,Current Stock,COMPANY,Sales Person,Sale Qty,Sale Rate
TABLET,THYRONORM 100MG TAB,177.4,137.66,TMH25035,2026-12-01,0,ABBOTT INDIA LTD,,,
TABLET,VERTIN 16MG TAB,393.65,302.32,VEB25002,2028-03-01,0,ABBOTT INDIA LTD,,,
pcs,COMBIGAN EYE DROP,502.02,381.53,120862,2027-04-01,0,ABBVIE,,,
pcs,COMBIGAN EYE DROP,535.49,406.56,117833,2026-11-01,0,ABBVIE,,,
pcs,COMBIGAN EYE DROP,535.49,406.97,116123,2026-08-01,0,ABBVIE,,,
pcs,COMBIGAN EYE DROP,535.49,406.97,117412,2026-10-01,0,ABBVIE,,,
pcs,COMBIGAN EYE DROP,535.49,406.97,117833,2026-11-01,0,ABBVIE,,,
pcs,COMBIGAN EYE DROP,535.49,406.97,119057,2027-01-01,0,ABBVIE,,,
TABLET,ACITROM 4MG TAB,705.31,547.32,ACD25008,2028-07-01,0,ABOTT,,,
pcs,ICIKINASE 1500000,2005.48,504.0,LBL0018,2027-08-01,0,ABOTT,,,
pcs,ICIKINASE 1500000,2139.18,546.0,LBL0010,2027-04-01,0,ABOTT,,,
pcs,ICIKINASE 1500000,2139.18,550.0,LBL0009,2027-03-01,0,ABOTT,,,
pcs,ICIKINASE 1500000,2102.59,560.0,LBL0004,2027-02-01,0,ABOTT,,,
pcs,ICIKINASE 1500000,2102.59,560.0,LBL0005,2027-02-01,0,ABOTT,,,
pcs,ICIKINASE 1500000,2139.18,560.0,LBL0007,2027-03-01,0,ABOTT,,,
pcs,ICIKINASE 1500000,2139.18,570.0,LBL0008,2027-03-01,0,ABOTT,,,
pcs,ICIKINASE 1500000,2139.18,570.0,LBL0009,2027-03-01,0,ABOTT,,,
pcs,ICIKINASE 1500000,2139.18,571.2,LBL0008,2027-03-01,0,ABOTT,,,
pcs,ICIKINASE 1500000,2139.18,580.0,LBL0008,2027-03-01,0,ABOTT,,,
pcs,ICIKINASE 1500000,2102.59,582.4,LBL0004,2027-02-01,0,ABOTT,,,
pcs,ICIKINASE 1500000,2139.18,582.4,LBL0007,2027-03-01,0,ABOTT,,,
pcs,ICIKINASE 1500000,2102.59,604.8,LBL0004,2027-02-01,0,ABOTT,,,
VIAL,ADRICIN 50MG/25ML,1683.0,525.0,ADA2502EP,2027-05-01,0,ADLEY FORMULATIONS PVT.LTD.,,,
VIAL,ADRICIN 50MG/25ML,1683.0,525.0,BEPI2505YB,2027-04-01,0,ADLEY FORMULATIONS PVT.LTD.,,,
VIAL,ADRICIN 50MG/25ML,1683.0,525.0,BEPI2506YB,2027-05-01,0,ADLEY FORMULATIONS PVT.LTD.,,,
VIAL,ADRICIN 50MG/25ML,1683.0,525.0,BEPI2510YA,2027-06-01,0,ADLEY FORMULATIONS PVT.LTD.,,,
pcs,CHOLTRAN SACHETS,87.0,66.82,AFCH2516,2028-07-01,0,AJANTA PHARMA,,,
pcs,CHOLTRAN SACHETS,95.0,72.96,AFCH2519,2028-08-01,0,AJANTA PHARMA,,,
TABLET,FEBURIC 40MG TAB,242.0,185.86,GT09455,2028-04-01,0,AJANTA PHARMA,,,
pcs,KAMAGRA JELLY 5GM/VOL-I,55.0,11.5,GT18922,2025-10-01,0,AJANTA PHARMA,,,
pcs,KAMAGRA JELLY 5GM/VOL-I,55.0,12.88,CT07675,2028-05-01,0,AJANTA PHARMA,,,
pcs,KAMAGRA JELLY 5GM/VOL-I,55.0,12.88,GT12465,2028-05-01,6118,AJANTA PHARMA,,,
mg,KAMAGRA TAB 100MG,40.0,29.12,GT16794,2028-08-01,500,AJANTA PHARMA,,,
pcs,BRIVEX EYE DROPS 5ML,609.0,462.84,GT24604,2026-11-01,0,Ajanta Pharma Ltd,,,
pcs,BRIVEX EYE DROPS 5ML,609.0,467.71,GT03025,2027-01-01,0,Ajanta Pharma Ltd,,,
pcs,OPTIDEW EYE DROPS,299.0,213.57,G45X003,2026-02-01,0,Ajanta Pharma Ltd,,,
pcs,RESYNC EYE DROP 10ML,399.0,306.43,KRPD5016B,2026-12-01,0,ALEMBIC PHARMACEUTICALS LTD,,,
pcs,ENZOFLAM,156.56,121.5,25440987,2027-02-01,0,ALKEM,,,
pcs,GEMTIDE NEEDLES(15S),0.01,0.01,11GA,2026-03-01,60,ALKEM,,,
g,PIPZO 4.5GM INJ,342.02,100.8,25440459,2027-01-01,0,ALKEM,,,
g,PIPZO 4.5GM INJ,342.02,100.8,25440461,2027-01-01,0,ALKEM,,,
TABLET,A TO Z NS PLUS TAB,192.0,147.46,25490479,2026-10-01,0,Alkem Laboratories Ltd,,,
TABLET,CEHAM-P TABS,827.0,628.52,25440754,2027-01-01,0,Alkem Laboratories Ltd,,,
TABLET,CEHAM-P TABS,827.0,635.13,25440754,2027-01-01,0,Alkem Laboratories Ltd,,,
pcs,DAPANORM 10MG TAB,192.0,147.45,25440739,2027-01-01,0,Alkem Laboratories Ltd,,,
pcs,DAPANORM 10MG TAB,192.0,148.99,24444487,2026-11-01,0,Alkem Laboratories Ltd,,,
pcs,DAPANORM 10MG TAB,211.0,162.04,25441192,2027-03-01,0,Alkem Laboratories Ltd,,,
pcs,DAPANORM 10MG TAB,211.0,162.04,25441882,2027-04-01,0,Alkem Laboratories Ltd,,,
TABLET,DONEP 10MG TAB,279.63,212.52,25443569,2028-02-01,0,Alkem Laboratories Ltd,,,
pcs,GLUVILDA M PLUS 500 TAB,151.5,115.14,GLD24039MH,2026-09-01,0,Alkem Laboratories Ltd,,,
pcs,GLUVILDA M PLUS 500 TAB,151.5,116.35,GLD25003MH,2027-01-01,0,Alkem Laboratories Ltd,,,
pcs,GLUVILDA M PLUS 500 TAB,151.5,117.57,GLD24040MH,2026-11-01,0,Alkem Laboratories Ltd,,,
pcs,GLUVILDA M PLUS 500 TAB,156.05,119.88,GLD25016MH,2027-06-01,0,Alkem Laboratories Ltd,,,
pcs,GLUVILDA M PLUS 500 TAB,156.05,119.88,GLD25019MH,2027-07-01,0,Alkem Laboratories Ltd,,,
pcs,GLUVILDA M PLUS 500 TAB,156.05,119.88,GLD25021MH,2027-08-01,0,Alkem Laboratories Ltd,,,
pcs,GLUVILDA M PLUS 500 TAB,156.05,121.13,GLD25016MH,2027-06-01,0,Alkem Laboratories Ltd,,,
pcs,GLUVILDA M PLUS 500 TAB,156.09,121.13,GLD25008MH,2027-04-01,0,Alkem Laboratories Ltd,,,
pcs,GLUVILDA M PLUS 500 TAB,166.5,127.87,GLD25006MH,2027-03-01,0,Alkem Laboratories Ltd,,,
TABLET,MIRAKEM 25MG TAB,290.0,225.04,24443543,2026-09-01,0,Alkem Laboratories Ltd,,,
pcs,PAN 20MG TAB,138.0,105.98,25442183,2027-11-01,0,Alkem Laboratories Ltd,,,
pcs,PAN D,254.0,195.07,25441539,2027-03-01,0,Alkem Laboratories Ltd,,,
pcs,BOTOX 100IU,24197.0,12299.99,D0120C3,2027-03-01,0,ALLERGAN INDAI LTD,,,
pcs,LUMIGAN 0.03%,952.39,731.74,409643,2026-05-01,0,ALLERGAN INDAI LTD,,,
pcs,Refresh Tears Eye Drop,131.27,107.51,120664,2027-05-01,0,ALLERGAN INDAI LTD,,,
pcs,Refresh Tears Eye Drop,131.27,107.51,121104,2027-06-01,0,ALLERGAN INDAI LTD,,,
pcs,Refresh Tears Eye Drop,131.27,107.51,121445,2027-07-01,0,ALLERGAN INDAI LTD,,,
pcs,Refresh Tears Eye Drop,137.64,112.72,117894,2026-12-01,0,ALLERGAN INDAI LTD,,,
pcs,03 POCKET MEDICINE POUCH,88.0,1.0,9696666,2027-09-01,3,AMARI TRADE ALLIANCE LLP.,,,
pcs,03 POCKET MEDICINE POUCH,120.0,118.0,12345,2027-10-01,0,AMARI TRADE ALLIANCE LLP.,,,
pcs,03 POCKET MEDICINE POUCH,899.0,1.0,try1,2025-12-01,8,AMARI TRADE ALLIANCE LLP.,,,
POUCH,03 POCKET MEDICINE POUCH.,899.0,252.5,123456,2030-10-01,0,AMARI TRADE ALLIANCE LLP.,,,
POUCH,03 POCKET MEDICINE POUCH.,899.0,252.5,3400900,2030-10-01,12,AMARI TRADE ALLIANCE LLP.,,,
POUCH,03 POCKET MEDICINE POUCH.,899.0,297.95,4532445,2027-12-01,0,AMARI TRADE ALLIANCE LLP.,,,
pcs,ATRANIUM 50MG,95.08,42.95,BS25003,2026-12-01,0,AMERICAN REMEDIES,,,
pcs,AZEECAN 500 INJ,218.69,53.29,ARN2509B,2027-07-01,0,AMERICAN REMEDIES,,,
pcs,BETASTAL BD INJ,0.1,0.1,A24CW006,2027-07-01,0,AMERICAN REMEDIES,,,
pcs,BETASTAL BD INJ,25.0,18.9,A24CW007,2027-09-01,0,AMERICAN REMEDIES,,,
pcs,BETASTAL BD INJ,25.0,19.66,A25CW019,2028-11-01,0,AMERICAN REMEDIES,,,
pcs,BETASTAL BD INJ,25.0,20.16,A24CW006,2027-07-01,0,AMERICAN REMEDIES,,,
pcs,BETASTAL INJ,4.97,2.89,ARN2529A,2027-08-01,0,AMERICAN REMEDIES,,,
pcs,DOBUTACAN INJ. 5ML,50.56,18.75,A23583A,2026-01-01,5,AMERICAN REMEDIES,,,
pcs,DOBUTACAN INJ. 5ML,51.46,21.62,25AE080A,2027-04-01,0,AMERICAN REMEDIES,,,
pcs,KDION 1 INJ,24.75,8.18,25AD050A,2027-03-01,0,AMERICAN REMEDIES,,,
pcs,LABECANOL INJ 20MG/4ML,213.56,16.48,ARN2515A,2027-07-01,0,AMERICAN REMEDIES,,,
pcs,LABECANOL INJ 20MG/4ML,213.56,16.48,ARN2538A,2027-08-01,0,AMERICAN REMEDIES,,,
pcs,SODICAN 8.4% INJ 25ML,37.52,17.36,BJ25004,2027-01-01,0,AMERICAN REMEDIES,,,
1,SUSTAMIX 250,186.56,50.4,QPI-1329,2028-07-01,0,AMERICAN REMEDIES,,,
1,SUSTAMIX 250,205.0,60.9,QPI-1347,2028-10-01,0,AMERICAN REMEDIES,,,
INJ,ASCORCAN 500MG INJ,18.75,4.62,072516,2027-06-01,0,AMERICAN REMEDIES LTD,,,
1 VIAL,CLOCIVIR 500MG,591.81,39.48,N24315B,2026-12-01,0,AMERICAN REMEDIES LTD,,,
1 VIAL,CLOCIVIR 500MG,591.81,39.48,N25074A,2027-04-01,0,AMERICAN REMEDIES LTD,,,
INJ,FAZOLIN 1G INJ,50.0,48.16,C25F-03,2028-05-01,2000,AMERICAN REMEDIES LTD,,,
AMPOULE,HYDRALZIN 20MG INJ,85.0,13.91,A25NQ001,2027-07-01,0,AMERICAN REMEDIES LTD,,,
TABLET,PENTRAL 400MG TAB,99.0,63.84,KN350,2026-12-01,0,AMERICAN REMEDIES LTD,,,
TABLET,VILDAFOX M 50/500MG TAB,186.56,19.95,AGT50897,2027-07-01,0,AMERICAN REMEDIES LTD,,,
pcs,DEXONE,0.01,0.01,I183028,2026-07-01,110,ANG LIFESCIENCES INDIA LTD,,,
TABLET,BEPLEX FORTE TAB,56.85,44.12,AVC25077P,2027-08-01,0,ANGLO FRENCH DRUGS,,,
,NASPRO-BBY LENS POWER 20.00D,6000.0,1058.4,24120502065,2028-11-01,0,AODP,,,
,NASPRO-BBY LENS POWER 20.00D,6000.0,1058.4,24120502067,2028-11-01,0,AODP,,,
,NASPRO-BBY LENS POWER 20.00D,6000.0,1058.4,24120502069,2028-11-01,0,AODP,,,
,NASPRO-BBY LENS POWER 20.00D,6000.0,1058.4,24120502071,2028-11-01,0,AODP,,,
,NASPRO-BBY LENS POWER 20.00D,6000.0,1058.4,24120502088,2028-11-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 21.00D,6000.0,1058.4,24120552020,2028-11-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 21.00D,6000.0,1058.4,24120552120,2028-11-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 21.00D,6000.0,1058.4,24120552132,2028-11-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 21.00D,6000.0,1058.4,24120552159,2028-11-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 21.00D,6000.0,1058.4,24120554012,2028-11-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 22.00D,6000.0,1058.4,24120557010,2028-11-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 22.00D,6000.0,1058.4,24120557013,2028-11-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 22.00D,6000.0,1058.4,24120557021,2028-11-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 22.00D,6000.0,1058.4,24120561014,2028-11-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 22.00D,6000.0,1058.4,24120561094,2028-11-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 23.00D,6000.0,1058.4,24030517022,2028-11-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 23.00D,6000.0,1058.4,24030526023,2028-11-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 23.00D,6000.0,1058.4,24030526033,2028-11-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 23.00D,6000.0,1058.4,24030583117,2028-11-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 23.00D,6000.0,1058.4,24120241095,2028-11-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 24.00D,6000.0,1058.4,24030538056,2028-02-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 24.00D,6000.0,1058.4,24030538071,2028-02-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 24.00D,6000.0,1058.4,24030538075,2028-02-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 24.00D,6000.0,1058.4,24030538076,2028-02-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 24.00D,6000.0,1058.4,24030575046,2028-02-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 26.00D,6000.0,1058.4,24050481009,2028-04-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 26.00D,6000.0,1058.4,24050481010,2028-04-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 26.00D,6000.0,1058.4,24050481011,2028-04-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 26.00D,6000.0,1058.4,24050481013,2028-04-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 26.00D,6000.0,1058.4,24050494001,2028-04-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 27.00D,6000.0,1058.4,23090503013,2027-08-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 27.00D,6000.0,1058.4,23120013002,2027-11-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 27.00D,6000.0,1058.4,23120013006,2027-11-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 27.00D,6000.0,1058.4,23120013009,2027-11-01,0,AODP,,,
pcs,NASPRO-BBY LENS POWER 27.00D,6000.0,1058.4,23120013010,2027-11-01,0,AODP,,,
TABLET,ZINCOVIT TAB,115.0,88.32,ZVT24307,2026-05-01,0,APEX LABORATORIES PVT LTD,,,
TABLET,ZINCOVIT TAB,115.0,88.32,ZVT25031,2026-07-01,0,APEX LABORATORIES PVT LTD,,,
TABLET,CABOZER 40MG,9000.0,2220.0,BT25142B,2027-02-01,0,APRAZER,,,
TABLET,CABOZER 60MG,13500.0,2820.0,BT25143B,2027-02-01,0,APRAZER,,,
pcs,DASAKAST 50MG,6500.0,1200.0,ACT2501DT,2027-04-01,0,APRAZER,,,
pcs,DASAKAST 50MG,9350.0,2000.0,PO230065A,2025-04-01,0,APRAZER,,,
TABLET,ELTROMBO 50MG,11718.75,1900.0,ACT2507ELYA,2027-10-01,0,APRAZER,,,
pcs,ENTEKOR 0.5 MG TAB,2150.0,2150.0,AT24026,2027-09-01,4,APRAZER,,,
pcs,INLYBEST 5 MG,3990.0,1350.0,ACT2504AX,2027-06-01,0,APRAZER,,,
pcs,INLYBEST 5 MG,3990.0,1350.0,BT25132A,2027-02-01,0,APRAZER,,,
pcs,LENAKAST 10MG CAP,4516.18,900.0,ACC2501LN,2027-04-01,0,APRAZER,,,
CAPSULES,LENAKAST 25MG CAP,8156.25,1570.0,ACC2517LNB,2027-07-01,0,APRAZER,,,
pcs,LENVAKAST 4MG,4485.93,1239.0,ACC2506LV,2027-06-01,0,APRAZER,,,
pcs,LENVAKAST 4MG,4485.93,1239.0,ACC2507LV,2027-06-01,0,APRAZER,,,
pcs,LENVAKAST 4MG,4785.0,1280.0,ACC2504LVD,2027-05-01,0,APRAZER,,,
pcs,LENVAKAST 4MG,4485.93,1500.0,ACC2506LV,2027-06-01,0,APRAZER,,,
pcs,LEUCOKAST 50 MG,358.0,28.0,ADA2502CLA,2027-03-01,0,APRAZER,,,
pcs,LEUCOKAST 50 MG,358.0,29.0,ADA2502CLA,2027-03-01,0,APRAZER,,,
pcs,PALBOCIB 125MG CAP,7125.0,1450.0,BC25225A,2027-06-01,0,APRAZER,,,
mg,PAZOKAST 400MG,3800.0,1600.0,ACT2502PZYA,2027-04-01,0,APRAZER,,,
pcs,SORAFEKAST 200MG TAB( 120),7524.0,1800.0,ACT2504SF,2027-06-01,0,APRAZER,,,
pcs,SORAFEKAST 200MG TAB( 120),7524.0,1900.0,ACT2501SFA,2027-04-01,0,APRAZER,,,
pcs,SORAFEKAST 200MG TAB( 120),7524.0,1900.0,SKO25031A,2027-02-01,0,APRAZER,,,
pcs,SORAFEKAST 200MG TAB( 120),7524.0,2000.0,ACT2406SFA,2026-07-01,0,APRAZER,,,
pcs,SORAFEKAST 200MG TAB( 120),7524.0,2000.0,ACT2506SFD,2027-09-01,0,APRAZER,,,
pcs,SORAFEKAST 200MG TAB( 120),7524.0,2000.0,BT25065B,2027-01-01,0,APRAZER,,,
pcs,SORAFEKAST 200MG TAB( 30),1881.0,550.0,ACT2414SF,2027-02-01,0,APRAZER,,,
pcs,VELAKAST TAB,16264.0,2900.0,1950214,2028-10-01,0,APRAZER,,,
pcs,VELAKAST TAB,17349.0,3100.0,1950064,2028-03-01,0,APRAZER,,,
pcs,VELAKAST TAB,17349.0,3100.0,1950090,2028-04-01,0,APRAZER,,,
pcs,VELAKAST TAB,17349.0,4050.0,1903711,2026-12-01,0,APRAZER,,,
pcs,VELAKAST TAB,17349.0,4050.0,1903764,2027-01-01,0,APRAZER,,,
pcs,VELAKAST TAB,17349.0,17349.0,1903654,2026-10-01,1,APRAZER,,,
pcs,PIPRATAZ INJ,447.3,79.35,AQK0135,2026-10-01,0,AQUA VITOE LABORATORIES,,,
pcs,PIPRATAZ INJ,447.32,79.35,AQK0138,2026-10-01,0,AQUA VITOE LABORATORIES,,,
SYRUP,AMBRODIL D SYRUP 100ML,106.0,81.4,MPM244658,2026-05-01,0,ARISTO,,,
CAPSULES,FOLINEXT D CAP,150.0,115.2,20925010,2027-03-01,0,Aristo Pharmaceuticals Pvt Ltd,,,
TABLET,GABANEURON 400/10MG,276.56,214.61,25S2GTB208,2027-04-01,0,Aristo Pharmaceuticals Pvt Ltd,,,
VIAL,MIKACIN 750MG INJ,168.52,130.78,MPJ253508,2028-08-01,0,Aristo Pharmaceuticals Pvt Ltd,,,
INJ,MONOCEF 2G INJ,147.54,91.59,BPH252178,2028-01-01,0,Aristo Pharmaceuticals Pvt Ltd,,,
INJ,MONOCEF 2G INJ,147.54,114.49,BPH252178,2028-01-01,0,Aristo Pharmaceuticals Pvt Ltd,,,
TABLET,MINOXIHEAD-D TAB,100.0,61.6,ET25097,2028-05-01,0,ASHER PHARMACEUTICALS,,,
pcs,XTANDI 40MG,335635.0,136999.97,23k1612,2026-10-01,0,ASTELLAS,,,
pcs,XTANDI 40MG,335635.0,138499.98,23K1612,2026-10-01,0,ASTELLAS,,,
pcs,XTANDI 40MG,335635.0,140000.0,23K1612,2026-10-01,0,ASTELLAS,,,
TABLET,AXCER 90MG TAB,480.0,368.64,GTG0196A,2027-12-01,0,ASTRA ZENECA,,,
pcs,CASODEX 50MG TAB,678.0,541.04,60050570,2028-06-01,0,ASTRA ZENECA,,,
pcs,MERONEM 1G,1000.31,530.0,IN00017,2028-08-01,0,ASTRA ZENECA,,,
pcs,MERONEM 1G,1000.31,530.0,IN00018,2028-08-01,0,ASTRA ZENECA,,,
pcs,MERONEM 1G,1067.0,560.0,IN00013,2028-06-01,0,ASTRA ZENECA,,,
mg,PROGRAF 0.5MG,216.93,182.02,OE3436E,2027-12-01,0,ASTRA ZENECA,,,
mg,PROGRAF 1MG,419.79,346.99,1G3015C,2028-05-01,0,ASTRA ZENECA,,,
mg,PROGRAF 1MG,419.79,350.02,1E3937C,2027-10-01,0,ASTRA ZENECA,,,
mg,PROGRAF 1MG,419.79,350.02,1G3015C,2028-05-01,0,ASTRA ZENECA,,,
mg,PROGRAF 1MG,447.78,362.01,1E3937C,2027-10-01,0,ASTRA ZENECA,,,
mg,PROGRAF 1MG,447.78,447.78,IE3826E,2026-05-01,5,ASTRA ZENECA,,,
pcs,ZOLADEX 10.8MG INJ,28890.0,18800.0,ST444,2027-08-01,0,ASTRA ZENECA,,,
